"title","track","mode","region","level","deadline","description","format","eligibility","howToApply","tags","applyUrl","officialUrl"
"Global Hack Week Cloud","Coding","Online","Global","All","2026-03-13","MLH Cloud Engineering week.","Workshops","Open","MLH Reg","Learning|Skill","https://mlh.io","https://mlh.io"
"Bebras Mini Challenge","Coding","Online","Australia","All","TBA","Practice for Bebras.","Mini-Exam","Students","No Login","Practice|Logic","https://amt.edu.au","https://amt.edu.au"
"Bebras 365","Coding","Online","Australia","All","TBA","Practice archive.","Practice","Open","No Login","Practice|Logic","https://amt.edu.au","https://amt.edu.au"
"CoderZ League Spring","Coding","Online","Global","Beg/Int","TBA","Virtual robotics league.","Sim","Classes","Teacher Reg","Block Code|Robotics","https://gocoderz.com","https://gocoderz.com"
"Young Coders Comp","Coding","Online","UK","Beg","2026-05-08","Submission deadline.","Game Design","Age 8-13","Submit","Scratch|Scratch","https://codingcompetition.org","https://codingcompetition.org"
"Coolest Projects Belgium","Coding","In-Person","Mechelen","All","2026-03-14","Technopolis.","Showcase","Age <18","Register","European|Make","https://online.coolestprojects.org","https://online.coolestprojects.org"
"Coolest Projects Japan","Coding","In-Person","Japan","All","2026-03-29","Tokyo.","Showcase","Age <18","Register","Asian|Make","https://online.coolestprojects.org","https://online.coolestprojects.org"
"Coolest Projects MN","Coding","In-Person","St. Paul, MN","All","2026-04-11","Science Museum of MN.","Showcase","Age <18","Register","USA|Make","https://online.coolestprojects.org","https://online.coolestprojects.org"
"Coolest Projects IE","Coding","In-Person","Dublin","All","2026-04-25","Explorium.","Showcase","Age <18","Register","Ireland|Make","https://online.coolestprojects.org","https://online.coolestprojects.org"
"Coolest Projects GA","Coding","In-Person","Georgia, USA","All","2026-05-02","Georgia Tech/Area.","Showcase","Age <18","Register","USA|Make","https://online.coolestprojects.org","https://online.coolestprojects.org"
"ProjectCSGIRLS","Coding","Online","USA","All","TBA","Registration for 2026 season.","Project","Girls 6-8","Register","Girls/STEM|Make","https://projectcsgirls.com","https://projectcsgirls.com"
"Technovation Deadline","Coding","Online","Global","All","2026-04-20","Submission deadline.","App/Biz Plan","Girls","Submit","Social Entrep.|App","https://iridescentsupport.zendesk.com","https://iridescentsupport.zendesk.com"
"NCWIT Aspirations","Coding","Online","USA","Adv","TBA","(Planning) Applications open Fall.","Portfolio","HS Girls","Apply","Award|Award","https://aspirations.org","https://aspirations.org"
"MnTech Aspirations","Coding","Online","Minnesota","Adv","TBA","Awards ceremony.","Portfolio","MN Girls","Invite","Award|Award","https://mntech.org","https://mntech.org"
"UAB HS Contest","Coding","In-Person","Birmingham, AL","All","2025-11-01","(Past, watch for 2026 date).","Contest","HS Students","Teacher Reg","Regional|Algo","https://uab.edu","https://uab.edu"
"Mercer HS Contest","Coding","In-Person","Macon, GA","All","TBA","Mathematics/CS contest.","Contest","HS Teams","Teacher Reg","Regional|Algo","https://liberalarts.mercer.edu","https://liberalarts.mercer.edu"
"GaSTC Programming","Coding","Online","Georgia","All","2026-03-06","Georgia Student Tech Comp.","Contest","GA Students","School Reg","State|Algo","https://gastc.org","https://gastc.org"
"LSU HS Research","Coding","In-Person","Baton Rouge","Adv","2026-02-06","Summer Research Application Due.","Internship","LA Students","Apply","Research|Res","https://lsu.edu","https://lsu.edu"
"ACPC (TAMU Club)","Coding","In-Person","Texas","Int","TBA","Aggie Competitive Programming.","Practice","TAMU/HS","Join","University|Algo","https://getinvolved.tamu.edu","https://getinvolved.tamu.edu"
"Texas Ideas Challenge","Coding","In-Person","College Stn","All","TBA","Entrepreneurship.","Pitch","TX HS","Apply","Startup|Biz","https://mcferrin.tamu.edu","https://mcferrin.tamu.edu"
"Aggieland Classic","Coding","In-Person","College Stn","All","2026-01-24","VEX V5 Tournament.","Robot Game","Teams","Register","Robotics|Robotics","https://robotevents.com","https://robotevents.com"
"Clemson Ice Scream","Coding","In-Person","Clemson, SC","All","2026-01-10","VEX Tournament.","Robot Game","Teams","Register","Robotics|Robotics","https://robotevents.com","https://robotevents.com"
"SC 4-H Challenge","Coding","In-Person","Columbia, SC","All","2026-03-17","Engineering Challenge.","Coding/Robo","SC Youth","Register","STEM|Eng","https://events.clemson.edu","https://events.clemson.edu"
"Alabama App Challenge","Coding","Online","Alabama","All","2026-01-19","Governor's App Challenge.","App Dev","AL Students","Teacher Reg","State|App","https://governor.alabama.gov","https://governor.alabama.gov"
"South Alabama VEX","Coding","In-Person","Mobile, AL","All","2026-01-10","VEX Tournament.","Robot Game","Teams","Register","Robotics|Robotics","https://robotevents.com","https://robotevents.com"
"Marquette Dairyland","Coding","In-Person","Milwaukee, WI","All","TBA","(Est). Wisconsin-Dairyland.","Contest","HS Teams","Teacher Reg","Regional|Algo","https://marquette.edu","https://marquette.edu"
"WPI FRC District","Coding","In-Person","Worcester, MA","Adv","2026-04-03","FIRST Robotics Event.","Robot Game","FRC Teams","Register","Robotics|Robotics","https://frc-events.firstinspires.org","https://frc-events.firstinspires.org"
"WPI Scholarships","Coding","Online","USA","Adv","2026-02-23","Design Innovation Scholarship.","Portfolio","Robotics","Apply","Scholarship|Award","https://wpi.edu","https://wpi.edu"
"Reply Challenge Teen","Coding","Online","Global","Int","2026-03-12","""Hack the Code"" Teen Edition.","4-Hour Exam","Age 14-19","Register","Algo, Logic|Algo","https://challenges.reply.com","https://challenges.reply.com"
"France-IOI Algorea","Coding","Online","France","All","2026-01-05","1st Round.","Contest","FR Schools","Teacher Reg","Algo|Algo","https://algorea.org","https://algorea.org"
"France-IOI R2","Coding","Online","France","All","2026-03-02","2nd Round.","Contest","FR Schools","Teacher Reg","Algo|Algo","https://algorea.org","https://algorea.org"
"France-IOI R3","Coding","Online","France","All","2026-04-27","3rd Round.","Contest","FR Schools","Teacher Reg","Algo|Algo","https://algorea.org","https://algorea.org"
"BWInf (Germany) R1","Coding","Online","Germany","All","2026-02-23","Jugendwettbewerb Round 1.","Contest","DE Schools","Register","Algo|Algo","https://bwinf.de","https://bwinf.de"
"BWInf (Germany) R2","Coding","Online","Germany","All","2026-04-17","Jugendwettbewerb Round 2.","Contest","DE Schools","Register","Algo|Algo","https://bwinf.de","https://bwinf.de"
"Olimpiada Informatyczna","Coding","Hybrid","Poland","Adv","2026-02-17","2nd Stage (II stopnia).","Exam","PL Students","Qualification","National|Algo","https://oi.edu.pl","https://oi.edu.pl"
"Olimpiada III Stopnia","Coding","In-Person","Poland","Adv","2026-03-17","Finals (III stopnia).","Exam","Qualifiers","Qualification","National|Algo","https://oi.edu.pl","https://oi.edu.pl"
"Olimpiadi Italiane","Coding","In-Person","Bologna, IT","Adv","2026-03-13","OIS Team Finals.","Contest","Qualifiers","Qualification","National|Algo","https://foe.it","https://foe.it"
"Olimpiadi Italiane R3","Coding","Online","Italy","Int","2026-01-14","Round 3 of team contest.","Contest","Teams","School Reg","Algo|Algo","https://foe.it","https://foe.it"
"Olimpiadi Italiane R4","Coding","Online","Italy","Int","2026-02-12","Round 4 of team contest.","Contest","Teams","School Reg","Algo|Algo","https://foe.it","https://foe.it"
"Spanish Olympiad Qual","Coding","Hybrid","Spain","Adv","2026-03-06","Regional Qualifiers (OIA).","Exam","ES Students","Register","National|Algo","https://esingenieria.uca.es","https://esingenieria.uca.es"
"Spanish Olympiad Open","Coding","Online","Spain","Adv","2026-03-18","Open Qualifier.","Exam","ES Students","Register","National|Algo","https://olimpiada-informatica.org","https://olimpiada-informatica.org"
"Spanish Olympiad Final","Coding","In-Person","Valladolid","Adv","2026-04-10","National Final (OIE).","Exam","Qualifiers","Qualification","National|Algo","https://olimpiada-informatica.org","https://olimpiada-informatica.org"
"TÜBİTAK Camps (Turkey)","Coding","In-Person","Turkey","Adv","TBA","Science Camps (Winter).","Camp","TR Students","Application","National|Camp","https://bilimgenc.tubitak.gov.tr","https://bilimgenc.tubitak.gov.tr"
"Saudi Olympiad (NSMO)","Coding","In-Person","Saudi Arabia","Adv","2026-04-30","National Teams Competition.","Exam","SA Students","Mawhiba","National|Algo","https://mawhiba.sa","https://mawhiba.sa"
"Saudi Olympiad Finals","Coding","In-Person","Riyadh","Adv","2026-05-16","NSMO Finals.","Exam","Qualifiers","Mawhiba","National|Algo","https://mawhiba.sa","https://mawhiba.sa"
"HKOI Finals (Hong Kong)","Coding","In-Person","Hong Kong","Adv","2026-02-28","Primary/Junior Finals.","Exam","HK Students","School Nom","National|Algo","https://hkoi.org","https://hkoi.org"
"NOI Singapore Prelim","Coding","Online","Singapore","Adv","2026-02-22","National Olympiad Prelim.","Exam","SG Students","School Reg","National|Algo","https://noisg.comp.nus.edu.sg","https://noisg.comp.nus.edu.sg"
"NOI Singapore Final","Coding","In-Person","NUS","Adv","2026-03-22","National Finals.","Exam","Qualifiers","Qualification","National|Algo","https://noisg.comp.nus.edu.sg","https://noisg.comp.nus.edu.sg"
"Malaysian Comp Camp","Coding","Online","Malaysia","Adv","2026-01-02","MCO Training Camp.","Camp","MCO Parts","Register","National|Algo","https://ioimalaysia.org","https://ioimalaysia.org"
